model_name,data_name,data_dir,normalise_type,processing_type,cuda_device,checkpoint_dir,pretrained,batch_size,num_workers,opt,lr,momentum,weight_decay,lr_scheduler,gamma,steps,max_epoch,print_step,best_acc,best_epoch,last_acc,macs,params,days,seconds,microseconds
cnn_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,20,0.9961685823754789,17744704.0,181642.0,0,51,180845
cnn_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9812734082397003,63,0.9625468164794008,2365201152.0,2328298.0,0,824,342516
cnn_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9578544061302682,63,0.9501915708812261,2702241792.0,2328298.0,0,923,696573
cnn_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,8,1.0,8749888.0,181642.0,0,47,950892
cnn_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,8,1.0,2879186112.0,2328298.0,0,985,757431
cnn_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,4,1.0,17744704.0,181642.0,0,37,183689
cnn_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9737827715355806,87,0.9700374531835206,2365201152.0,2328298.0,0,825,488615
cnn_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9386973180076629,83,0.9272030651340997,2702241792.0,2328298.0,0,924,376853
cnn_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,11,1.0,8749888.0,181642.0,0,47,744536
cnn_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,39,0.9923371647509579,2879186112.0,2328298.0,0,985,979743
lenet_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9616858237547893,55,0.9540229885057471,290496.0,3382.0,0,36,631962
lenet_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9737827715355806,33,0.9588014981273408,63825192.0,61706.0,0,171,694538
lenet_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.89272030651341,38,0.8735632183908046,72934312.0,61706.0,0,158,833194
lenet_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,78,0.9961685823754789,145088.0,3382.0,0,34,567829
lenet_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,97,0.9961685823754789,77716872.0,61706.0,0,164,931571
lenet_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9770114942528736,49,0.9655172413793104,290496.0,3382.0,0,23,274155
lenet_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9775280898876404,43,0.9438202247191011,63825192.0,61706.0,0,171,190644
lenet_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.89272030651341,59,0.8773946360153256,72934312.0,61706.0,0,150,16943
lenet_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,99,0.0,145088.0,3382.0,0,34,418972
lenet_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,8,0.9923371647509579,77716872.0,61706.0,0,155,791931
alexnet_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,86,0.9846743295019157,55620800.0,3409738.0,0,48,611291
alexnet_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9662921348314607,75,0.9400749063670412,1113895296.0,57029322.0,0,408,211177
alexnet_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9693486590038314,82,0.946360153256705,1343040192.0,57029322.0,0,413,441860
alexnet_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,6,1.0,28738240.0,3409738.0,0,45,77576
alexnet_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,9,1.0,1369822720.0,57029322.0,0,413,838564
alexnet_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,1.0,77,0.9885057471264368,55620800.0,3409738.0,0,40,936708
alexnet_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_NA,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,100,100,0.9662921348314607,83,0.9363295880149812,1113895296.0,57029322.0,0,408,941821
